name,website,trustCenter,platform,Actual Host,iconUrl
Activepieces,https://www.activepieces.com,https://trust.activepieces.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://www.activepieces.com&sz=128
AfterQuery,https://afterquery.com,https://trust.afterquery.com,Self-hosted,Delve,https://www.google.com/s2/favicons?domain=https://afterquery.com&sz=128
AfterQuery,https://afterquery.com,https://trust.afterquery.com,Self-hosted,Duplicate,https://www.google.com/s2/favicons?domain=afterquery.com&sz=128
Airbyte,https://airbyte.com/,https://trust.airbyte.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://airbyte.com/&sz=128
BrainKey,https://www.brainkey.ai/,https://trust.brainkey.ai,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://www.brainkey.ai/&sz=128
CaptivateIQ,https://www.captivateiq.com,https://trust.captivateiq.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://www.captivateiq.com&sz=128
Cocoon,http://cocoon.com,https://trust.cocoon.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=http://cocoon.com&sz=128
Convoy,https://getconvoy.io,https://trust.getconvoy.io,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://getconvoy.io&sz=128
Demodesk,https://demodesk.com,https://security.demodesk.com/,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://demodesk.com&sz=128
digi,https://www.digiventures.la/,https://trust.digiventures.la,Self-hosted,Delete,https://www.google.com/s2/favicons?domain=https://www.digiventures.la/&sz=128
Dropbox,http://dropbox.com,https://trust.dropbox.com,Self-hosted,SafeBase,https://www.google.com/s2/favicons?domain=http://dropbox.com&sz=128
Flaviar,https://flaviar.com,https://trust.flaviar.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://flaviar.com&sz=128
Fountain,http://fountain.com,https://trust.fountain.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=http://fountain.com&sz=128
Great Question,https://greatquestion.co,https://trust.greatquestion.co,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://greatquestion.co&sz=128
Hamming AI,https://hamming.ai/,https://trust.hamming.ai,Self-hosted,Delete,https://www.google.com/s2/favicons?domain=https://hamming.ai/&sz=128
Heron Data,https://www.herondata.io,https://trust.herondata.io,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://www.herondata.io&sz=128
hoop.dev,https://hoop.dev,https://trust.hoop.dev,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://hoop.dev&sz=128
Hubspot,https://hubspot.com/,https://trust.hubspot.com/,Self-hosted,SafeBase,https://www.google.com/s2/favicons?domain=hubspot.com&sz=128
Linear,https://linear.app/,https://trustcenter.linear.app/,Other,Vanta,https://www.google.com/s2/favicons?domain=linear.app&sz=128
Linkana,https://www.linkana.com,https://trust.linkana.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://www.linkana.com&sz=128
Lucidic AI,https://lucidic.ai,https://trust.lucidic.ai,Self-hosted,Delve,https://www.google.com/s2/favicons?domain=https://lucidic.ai&sz=128
Mem0,https://mem0.ai,https://trust.mem0.ai,Self-hosted,Delve,https://www.google.com/s2/favicons?domain=https://mem0.ai&sz=128
Notabene,https://notabene.id,https://trust.notabene.id,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://notabene.id&sz=128
OpenMeter,https://openmeter.io,https://trust.openmeter.io,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://openmeter.io&sz=128
Origami,https://www.origamiagents.com,https://trust.origamiagents.com,Self-hosted,Delve,https://www.google.com/s2/favicons?domain=https://www.origamiagents.com&sz=128
PeerDB,https://peerdb.io/,https://trust.peerdb.io,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://peerdb.io/&sz=128
Rally,https://www.getrally.com/,https://trust.getrally.com,Self-hosted,Delve,https://www.google.com/s2/favicons?domain=https://www.getrally.com/&sz=128
Ready,https://ready.net,https://trust.ready.net,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://ready.net&sz=128
Rutter,https://rutter.com,https://trust.rutter.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://rutter.com&sz=128
ShipBob,http://shipbob.com,https://trust.shipbob.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=http://shipbob.com&sz=128
SimpleLegal,http://simplelegal.com,https://trust.simplelegal.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=http://simplelegal.com&sz=128
Speedscale,https://speedscale.com,https://trust.speedscale.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://speedscale.com&sz=128
TaxGPT,https://www.taxgpt.com,https://trust.taxgpt.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://www.taxgpt.com&sz=128
Traceloop,https://www.traceloop.com,https://trust.traceloop.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://www.traceloop.com&sz=128
Trébol,https://gotrebol.com/,https://trust.gotrebol.com,Self-hosted,Vanta,https://www.google.com/s2/favicons?domain=https://gotrebol.com/&sz=128